Ens.ID	TPM.kidney	TPM.testis	TPM.heart	TPM.brain	TPM.cerebellum	TPM.liver
ENSMODG00000000147	3.952509	5.113695	3.784377	13.531293	16.719261	2.292687
ENSMODG00000000148	0.059093	170.40924	0.005986	0	0	0
ENSMODG00000000149	7.562018	233.248785	5.981013	12.648429	15.390318	3.338153
ENSMODG00000000151	0.820329	19.723961	0.169735	2.314534	2.00753	0.04955
ENSMODG00000000152	3.568067	11.961923	2.281617	8.00632	6.279536	1.84255
ENSMODG00000000154	3.117571	0.216062	0.059645	6.835245	24.651827	0.163258
ENSMODG00000000155	2.668444	2.565226	2.237276	10.50091	16.78443	1.872418
ENSMODG00000000157	0.254379	1.241288	0.186897	0	0	0.299
ENSMODG00000000158	107.017576	47.953906	44.612664	131.10438	115.053111	49.819356
ENSMODG00000000160	0.500099	254.46159	0.061529	0.806708	1.848825	0.035121
ENSMODG00000000161	2.909717	32.544287	1.479782	4.183209	11.404903	2.499777
ENSMODG00000000162	5.786928	87.980728	2.136995	6.839978	4.597338	1.809179
ENSMODG00000000163	7.940176	5.456193	4.21704	9.252776	9.761464	1.883046
ENSMODG00000000164	0.979218	2.246842	0.261164	3.348408	2.622522	0.27786
ENSMODG00000000165	3.732815	3.788028	0.416165	3.031777	5.377344	0.338781
ENSMODG00000000167	5.274693	27.174663	5.35174	14.071898	16.049048	2.236326
ENSMODG00000000168	22.864723	5.979261	14.765286	26.779924	37.829573	12.756921
ENSMODG00000000169	20.338808	48.608681	11.573706	45.542225	30.187199	6.77198
ENSMODG00000000170	0.068058	0.033977	0.132903	0.091578	0.481746	0
ENSMODG00000000172	0	0	0	0	0	0
ENSMODG00000000173	3.310007	0.370518	3.999651	1.937461	5.288851	0.252612
ENSMODG00000000174	0	0	0	0	0	0
ENSMODG00000000175	2.783817	2.080496	3.207719	2.467299	4.89438	1.618607
ENSMODG00000000176	6.846631	12.450309	2.983526	10.094526	15.378016	3.487875
ENSMODG00000000178	10.415656	16.497978	13.0468	46.415113	67.265407	0.761398
ENSMODG00000000179	1.97353	0.820483	0.262489	0.797441	0.898636	0.602179
ENSMODG00000000180	2.653928	10.53624	2.482392	2.651727	1.130657	0.900136
ENSMODG00000000181	0.64144	213.716212	0.02914	47.447303	89.538361	0
ENSMODG00000000182	0.089411	2.430133	0.122316	2.482091	9.153916	0.045476
ENSMODG00000000183	0.393938	0.143283	0.435946	2.621352	1.878921	77.537606
ENSMODG00000000184	5.174234	7.225919	2.030707	8.995275	17.204759	2.769373
ENSMODG00000000185	17.808731	16.218889	11.504967	45.011617	50.622	18.663015
ENSMODG00000000187	0	0	0	12.921767	26.046787	0
ENSMODG00000000188	0.714332	39.073632	0.054725	1.788508	1.122829	0.016159
ENSMODG00000000189	0.263948	7.059282	0.16132	0.960335	0.644629	0.278722
ENSMODG00000000190	1.507588	0.345666	0.37759	4.290064	4.913566	0.330072
ENSMODG00000000192	1.461527	8.38686	2.879545	2.641151	4.289846	1.433285
ENSMODG00000000193	4.132345	10.627841	2.825787	10.10727	9.769106	1.493104
ENSMODG00000000195	0.117963	0.390132	0.443765	3.307204	1.152958	0.060476
ENSMODG00000000196	6.331769	17.777575	2.795705	12.57257	18.426146	0.288774
ENSMODG00000000197	0.168177	0.063764	0	0.162934	0	0.078875
ENSMODG00000000198	5.131795	0.323712	4.173297	3.483921	1.871384	2.02514
ENSMODG00000000199	6.729209	2.548035	4.741024	13.23152	16.643576	3.568511
ENSMODG00000000200	5.004899	4.094931	2.040078	8.592925	15.500633	1.956448
ENSMODG00000000203	9.07802	2.27802	32.906491	0.216738	0.226174	8.33131
ENSMODG00000000204	4.950522	2.749904	1.69993	6.605894	7.029575	1.287829
ENSMODG00000000206	0	0.376233	0	5.879148	8.936683	0
ENSMODG00000000207	0.033381	0.01995	0	4.138905	0.492945	0
ENSMODG00000000208	1.427279	16.068719	1.269647	2.091865	2.43336	0.751332
ENSMODG00000000209	0.923904	13.31368	1.05225	12.892989	27.512823	0.347516
ENSMODG00000000210	3.06892	4.079263	2.139058	5.335899	7.149299	1.243685
ENSMODG00000000211	34.041448	6.630856	15.51828	33.430928	32.937223	16.358462
ENSMODG00000000212	12.170635	0.056379	0.023714	0.578826	3.665053	0.107222
ENSMODG00000000213	0.045088	0.214519	0.261228	0.538616	0.175616	0.124023
ENSMODG00000000214	1.823001	1.951964	1.345165	3.093701	4.187863	0.891653
ENSMODG00000000215	7.995741	0	0	0.205413	0.119035	0.069962
ENSMODG00000000216	3.774603	8.409858	3.463106	3.815087	13.330881	0.212564
ENSMODG00000000217	0.052782	1.356543	0.010729	0.030342	0.032857	0
ENSMODG00000000218	0.160011	0.145038	0.060754	67.409083	282.18069	0
ENSMODG00000000219	4.098277	7.641842	2.705381	8.337313	7.602922	2.194799
ENSMODG00000000220	6.124857	5.870613	7.977743	70.49007	58.208122	3.696296
ENSMODG00000000221	3.299704	2.653803	1.301566	5.812186	9.125803	1.491457
ENSMODG00000000222	2.616641	19.397409	1.463421	8.618939	9.576588	0.886899
ENSMODG00000000223	11.90636	15.388633	6.316251	10.940448	12.172353	6.590651
ENSMODG00000000226	3.213286	6.710416	2.014923	8.769135	10.329307	1.402896
ENSMODG00000000227	14.933052	27.649559	18.936302	18.018208	16.234215	4.7186
ENSMODG00000000228	17.706616	2.438401	6.943278	3.61914	88.941669	224.612399
ENSMODG00000000229	26.85777	0.063133	0.022816	3.519251	0.023391	0.850035
ENSMODG00000000231	2.007045	4.706994	1.25192	2.404545	1.751866	0.994763
ENSMODG00000000232	1.002392	1.052489	0.218595	0.753869	0.179417	0.010673
ENSMODG00000000233	0.106624	1.225009	0.043487	0.539427	0.325198	0.058976
ENSMODG00000000234	0	0.207481	0	0	0	0.491062
ENSMODG00000000235	0.927929	0.013786	0.611223	0.163675	0.270599	0.219149
ENSMODG00000000236	0.01884	0.066356	0	2.665712	0.023942	0
ENSMODG00000000237	0.102186	258.119695	0.397707	0.716452	0.969292	0.163023
ENSMODG00000000241	0.190486	0	0	0.110316	1.004432	0.072456
ENSMODG00000000242	1.316633	0.281804	0.164196	22.462783	26.060132	0.319375
ENSMODG00000000243	0	0.287254	0	1.458103	8.571332	0
ENSMODG00000000244	52.133978	57.887567	17.381104	32.679423	51.104493	37.652384
ENSMODG00000000245	0.217557	0.95794	0.089141	1.160688	1.114987	0.045454
ENSMODG00000000246	1.060644	4.054374	0.571823	2.987402	7.337544	0.3798
ENSMODG00000000247	3.083275	2.738998	0.50372	22.787673	37.819321	1.944908
ENSMODG00000000248	0.16164	0	0	0.197313	0	0
ENSMODG00000000249	51.136748	112.251778	11.646946	41.182147	134.340128	87.739448
ENSMODG00000000250	2.499668	5.515825	1.212663	18.288203	19.560287	0.426134
ENSMODG00000000252	1.887929	1.934873	3.141492	3.956269	7.244748	1.283253
ENSMODG00000000253	4.374245	5.770021	4.011237	16.177855	10.833238	3.388158
ENSMODG00000000254	0.153698	0.130307	0.05852	2.876473	4.761813	0.016303
ENSMODG00000000255	2.589352	3.714435	1.613329	3.755101	10.806014	1.803529
ENSMODG00000000256	4.790041	2.914498	1.332697	10.396212	11.804283	2.717177
ENSMODG00000000260	0	0.062589	0	0.130679	0	0
ENSMODG00000000261	0.018429	1.224163	0.022749	1.92628	0.216126	0
ENSMODG00000000264	5.838927	25.526746	5.327331	19.895409	10.889719	3.177728
ENSMODG00000000265	0.177361	91.3424	0.036816	3.63036	4.984763	0
ENSMODG00000000267	0.160911	1.239275	1.124463	0	0.760277	0.117802
ENSMODG00000000268	0.36725	26.000426	0.205782	0.337879	0.61818	0.494265
ENSMODG00000000271	0	78.868645	0.020832	2.174124	0.662225	0
ENSMODG00000000272	0	0.056818	0	0.174808	0.354199	0
ENSMODG00000000273	12.109419	20.839887	3.227461	17.010099	14.901187	4.241876
ENSMODG00000000274	0.534376	2.885701	0.18927	0.808138	5.016305	1.729374
ENSMODG00000000275	727.284873	186.105261	254.941777	620.034718	663.710132	577.629011
ENSMODG00000000278	0.119935	0.884326	0.087619	0.416579	1.931422	0.331092
ENSMODG00000000279	4.194211	16.110663	3.942531	22.303155	18.224395	1.645802
ENSMODG00000000280	77.580493	179.091235	22.680859	109.98597	296.392032	51.714189
ENSMODG00000000281	1.72844	0.515692	0.474544	1.680422	1.181809	0.691108
ENSMODG00000000282	0	0	0	0	0	0
ENSMODG00000000283	0	0	0	0	0	0
ENSMODG00000000285	6.840981	4.800509	1.824897	2.312933	0.417344	2.1855
ENSMODG00000000288	0.692351	1.38851	0.085906	0.373448	0.565739	0.039262
ENSMODG00000000289	15.131165	12.275253	1.924023	13.893788	4.04513	0.775929
ENSMODG00000000290	3.189413	2.572949	2.538837	3.799184	4.641617	2.976223
ENSMODG00000000291	0.118686	0	8.995509	0.013736	0.047617	0
ENSMODG00000000292	25.696427	6.31213	1.695054	29.535996	13.047999	27.99688
ENSMODG00000000294	0.116506	7.230231	0.032218	0.30281	0.402559	0.074283
ENSMODG00000000298	0.945521	61.597229	0.0823	10.415227	3.569915	0.118803
ENSMODG00000000299	2.550435	1.813773	1.30497	1.702144	1.486132	0.981935
ENSMODG00000000300	0.4139	1.05469	0.416008	0.878486	1.408654	0.635854
ENSMODG00000000302	1.272861	1.591752	1.333225	5.703716	6.245904	0.857166
ENSMODG00000000303	12.664918	14.979505	6.591437	29.714666	19.636533	3.509058
ENSMODG00000000304	0	2.709469	0.001181	0	0	0.085612
ENSMODG00000000305	2.801213	8.587184	2.861205	2.974298	4.764312	1.911892
ENSMODG00000000306	0.053698	0.097578	0.01112	63.663275	92.629193	0.040703
ENSMODG00000000307	0	0	0	0	0.127445	0.425502
ENSMODG00000000308	0.758906	26.896153	0.746704	1.702738	5.025542	0.16093
ENSMODG00000000309	65.311701	0.21794	0.285196	7.593378	10.498232	0.04158
ENSMODG00000000311	5.379316	0.72911	1.465335	0.975197	1.065465	0.150606
ENSMODG00000000312	0	0.094713	0	4.557246	0.207274	0
ENSMODG00000000314	41.705665	66.354548	11.829714	39.837927	49.964816	29.930943
ENSMODG00000000315	55.822436	94.136236	53.858933	28.870521	33.861947	16.983527
ENSMODG00000000316	2.018115	7.318516	0.831663	5.064749	6.678512	1.336913
ENSMODG00000000317	0.509884	46.311909	0.163994	0.973171	1.537366	0.126222
ENSMODG00000000318	0.15936	1.774841	0.923709	0.175294	0.248132	0.063372
ENSMODG00000000319	2.486622	47.094997	2.060526	3.539783	5.403783	1.610294
ENSMODG00000000320	26.39929	6.737136	17.318098	3.001654	5.844658	5.879212
ENSMODG00000000321	0.057721	1.081842	0.071401	0.332488	0.299555	0
ENSMODG00000000322	0.620269	1.903902	0.155239	0	1.558256	0
ENSMODG00000000324	3.438476	1.940505	2.531537	9.10894	6.521014	3.214261
ENSMODG00000000325	0.863474	3.144939	0.850972	2.15042	6.86666	0.486975
ENSMODG00000000326	2.383255	5.390521	4.662596	5.02787	4.229715	1.915895
ENSMODG00000000327	0.516868	3.357686	0.652094	0.209489	0.152759	0.9004
ENSMODG00000000328	2.357184	7.108078	0.015471	1.348628	1.283744	0.333365
ENSMODG00000000329	0.12206	0.041945	0.01595	2.184153	0	0
ENSMODG00000000330	47.60479	14.390594	36.889901	12.166903	20.790215	23.680697
ENSMODG00000000333	0	0.113527	0.038234	0	0.941844	0
ENSMODG00000000334	30.66782	3.076329	2.472927	16.645848	9.13289	9.649062
ENSMODG00000000336	5.517232	7.755288	4.137701	7.238422	9.159057	1.821094
ENSMODG00000000337	0.025471	6.488424	0.010348	0.47317	0.127385	0
ENSMODG00000000338	5.881719	3.101736	2.590438	5.353627	4.801104	2.828899
ENSMODG00000000339	3.288654	36.892055	0.682366	2.471028	3.534808	1.658245
ENSMODG00000000340	82.974008	12.224874	60.762894	14.963467	19.602772	22.573553
ENSMODG00000000342	88.797832	45.974326	102.176356	115.210612	77.735027	31.832025
ENSMODG00000000343	1.891219	1.574869	0.971121	2.468912	1.944105	0.830878
ENSMODG00000000344	0.194778	0.63211	22.435734	0.131701	0.256101	0
ENSMODG00000000345	0.545881	0.316747	0.886205	0.55096	1.314748	0.396789
ENSMODG00000000346	19.650686	50.296019	9.785196	24.775762	49.200967	27.341319
ENSMODG00000000347	2.920306	1.650192	0.413302	0.862644	1.370083	3.565048
ENSMODG00000000348	0.365666	3.059302	0.40872	0.99133	3.887661	0.230563
ENSMODG00000000349	0.35594	0.451062	0.378552	1.197788	2.12252	0.206567
ENSMODG00000000350	0	2.3119	0	2.752347	0	0
ENSMODG00000000351	0.019597	28.821475	0.071981	1.830408	0.272244	0.05664
ENSMODG00000000352	0	0.119058	0.705557	0	0.101395	0
ENSMODG00000000353	0	0	0.016778	0	0.10898	0.130803
ENSMODG00000000354	0.019164	16.283743	0.014656	1.469561	0.137385	0.005463
ENSMODG00000000355	3.436438	3.85457	1.294993	2.544635	6.901452	1.407235
ENSMODG00000000356	0.057065	8.430184	0.034988	0	0.071184	0
ENSMODG00000000357	0.053911	0.507723	0.003197	0	0.156275	0
ENSMODG00000000358	0	0.354666	0.022277	0.123091	0	0
ENSMODG00000000359	1.682908	3.833061	10.260786	0.476062	0.499882	0.024469
ENSMODG00000000361	92.602305	101.003731	76.499635	89.908632	92.580043	47.240708
ENSMODG00000000363	0.812841	7.573083	0.553693	3.209191	2.926874	0.306756
ENSMODG00000000364	11.501012	0.808337	1845.026793	43.750167	6.815734	0.039792
ENSMODG00000000365	1.40227	1.152111	0.328722	1.462367	2.503235	3.117911
ENSMODG00000000367	5.548444	13.689119	3.442935	11.848493	10.628169	2.858464
ENSMODG00000000369	163.542428	188.993795	74.108438	241.533489	282.111633	136.786896
ENSMODG00000000370	0.217318	0.048952	0.030849	0.748807	0.191418	0.024545
ENSMODG00000000373	1.014383	0.226458	0.577099	0	0	0.554053
ENSMODG00000000374	1.441351	11.642877	1.015279	1.834749	1.802713	0.631872
ENSMODG00000000375	8.580172	3.267468	0.397078	1.38974	2.108828	74.094985
ENSMODG00000000376	6.404751	8.111486	1.455972	11.20691	13.565935	1.506163
ENSMODG00000000377	0.179695	4.58692	0.344391	0.620363	0.67982	0.149909
ENSMODG00000000378	0.566663	0.119085	0.017416	0.491393	0	0.021145
ENSMODG00000000380	8.241155	0.143317	0	0.415532	0.205784	1.439563
ENSMODG00000000382	26.343321	0.557681	0.035567	2.782352	1.806632	0.349023
ENSMODG00000000383	1.795231	4.428649	1.022412	4.351128	7.198976	0.616219
ENSMODG00000000384	2.406796	2.893551	0.541503	30.734342	45.424663	0.322326
ENSMODG00000000386	13.305286	0	0.843452	0	0.039532	0.115829
ENSMODG00000000387	0.988408	0.427044	0.123877	0.291363	0.102638	1.126386
ENSMODG00000000388	1.725207	2.834641	0.647415	2.492868	3.595133	0.897975
ENSMODG00000000390	4.513409	2.65893	0.152516	0.324035	0.238354	0.509011
ENSMODG00000000391	2.704566	17.675979	1.885553	13.763434	16.871026	1.426381
ENSMODG00000000392	443.005963	0	0.158958	1.438605	0.50272	328.580178
ENSMODG00000000393	456.658689	219.020462	123.49595	365.84466	312.900898	572.849108
ENSMODG00000000394	23.761539	42.733973	19.659608	53.566653	104.926363	29.934321
ENSMODG00000000395	0	0.091767	1.080595	0.52129	0.492715	0
ENSMODG00000000396	19.869117	23.559987	12.234417	37.869294	103.589832	14.206964
ENSMODG00000000397	0	0	0	0.731112	0	0
ENSMODG00000000398	0.151374	0.182207	0.189298	0.353296	0.584961	0.121947
ENSMODG00000000399	3.606832	17.440484	2.211917	6.039837	7.449629	1.314498
ENSMODG00000000400	0.79707	0.912198	0.629653	1.946865	1.310722	0.315371
ENSMODG00000000401	3.914541	1.642127	0.061761	0.108154	0	0.395642
ENSMODG00000000403	16.889911	5.659195	9.36739	74.255866	79.772989	2.246634
ENSMODG00000000405	1.224663	4.624648	0.204523	0.605089	1.453705	2.196901
ENSMODG00000000406	4.826926	30.651949	3.06888	6.514686	9.148398	1.685118
ENSMODG00000000407	17.339097	8.801094	13.397392	11.482477	9.306979	9.341675
ENSMODG00000000408	3.434174	3.486787	2.305555	4.393313	4.514733	23.255136
ENSMODG00000000409	3.405997	117.832618	1.423819	9.769156	8.236741	5.546322
ENSMODG00000000412	69.316778	5.201022	9.368913	8.146919	10.187663	24.612512
ENSMODG00000000414	7.706977	1.545592	8.74741	2.538666	35.70254	3.843669
ENSMODG00000000415	0	0	0	0.3994	0	0
ENSMODG00000000416	0.483934	2.072119	0.536905	1.275717	2.119922	0.185894
ENSMODG00000000417	0.90326	0.687845	0.039902	0.026868	0	0
ENSMODG00000000418	1.565365	2.942657	0.642855	1.613524	0.692366	0.424618
ENSMODG00000000420	0.046094	0	0	12.463435	0.44516	0
ENSMODG00000000421	38.600654	20.698158	10.573967	5.762895	4.006487	44.117654
ENSMODG00000000422	0	1.249579	0.150128	0	0.357192	0.242122
ENSMODG00000000423	3.460867	38.789688	1.15603	0.825924	1.670024	3.475025
ENSMODG00000000424	0	7.964737	0	0	0	0
ENSMODG00000000427	12.301215	10.607434	3.442546	10.80893	30.929578	5.727964
ENSMODG00000000429	0	0.010898	0	27.390453	120.470355	0
ENSMODG00000000430	1.13247	1.804961	0.439037	1.384963	2.622972	0.216573
ENSMODG00000000432	0.976894	9.859469	0.021135	1.458415	0.932072	5.753115
ENSMODG00000000433	0	0.020901	0	0	0.457542	12.414307
ENSMODG00000000434	0.451061	0.298324	0.115497	0.112227	0.16073	0.115307
ENSMODG00000000436	4.071093	4.943064	1.217235	6.169938	9.769527	2.187786
ENSMODG00000000438	0.110089	0.541071	0.041503	0.214209	8.776669	0.016791
ENSMODG00000000439	3.06818	4.378036	4.299312	8.202363	7.595688	1.022167
ENSMODG00000000441	0.217411	0.118889	0.48376	1.584053	1.186325	0
ENSMODG00000000442	2.326531	5.954757	1.398476	4.33443	4.767087	1.460867
ENSMODG00000000443	2.916163	9.152009	1.212622	8.3789	10.3959	1.187351
ENSMODG00000000444	0.585717	0.113251	0.857889	0.949635	3.142726	0.254058
ENSMODG00000000446	0.15422	19.122214	0.609313	8.853873	22.529215	0.059295
ENSMODG00000000447	0	0.031077	0	0	0.068485	0
ENSMODG00000000448	11.521423	0.443283	0.958701	4.458773	17.57465	0.363525
ENSMODG00000000449	0.0228	0.12337	0	0	0	0
ENSMODG00000000450	0	0.454289	0	0	0.71615	0.323385
ENSMODG00000000451	0.608888	1.595499	0.416792	1.016425	2.061973	0.429791
ENSMODG00000000452	2.017787	6.392526	1.737656	5.002732	4.443755	2.23612
ENSMODG00000000453	1.794954	0	0	0	0	0
ENSMODG00000000454	1.42132	6.238919	0.398043	4.208761	4.451262	0.502104
ENSMODG00000000455	6.018771	2.462777	0.528924	0.867153	0.990219	5.45163
ENSMODG00000000456	0.149426	3.797733	0.057284	0.271256	1.327228	0
ENSMODG00000000457	13.697646	10.650967	117.316158	23.619298	19.243557	2.209854
ENSMODG00000000458	5.586549	4.955136	2.902397	6.266392	8.114096	1.72183
ENSMODG00000000459	0.851537	1.637776	5.437052	9.08804	6.127174	1.241629
ENSMODG00000000460	0.02734	0.033349	0.044503	4.361241	40.579764	0.03624
ENSMODG00000000462	26.819407	29.304121	18.028241	50.699913	60.896081	14.814198
ENSMODG00000000463	3.150787	0	0.004466	0.049927	0	0
ENSMODG00000000464	0.593148	32.559884	0.473103	3.333069	4.097012	0.200125
ENSMODG00000000465	9.940549	38.85418	9.025593	23.48084	15.938858	7.205715
ENSMODG00000000466	0.140905	349.807882	0.043234	0.081664	0.091127	0
ENSMODG00000000469	10.571492	2.309196	0.275228	0	0.021959	0.012785
ENSMODG00000000470	33.845776	39.824436	24.350766	63.011911	116.973615	14.631955
ENSMODG00000000471	1.953709	0.593808	2.073231	3.485483	6.093495	0.319196
ENSMODG00000000472	4.491651	0.845585	0.122928	0	0	0.352622
ENSMODG00000000474	138.646955	0.517984	9.058956	90.971777	5.474137	17.127569
ENSMODG00000000475	0.058964	0.407278	0.003039	9.618124	100.848989	0
ENSMODG00000000476	2.603067	5.178169	2.358997	14.622534	19.45395	1.755159
ENSMODG00000000479	0.565677	0.56752	0.506353	2.555213	4.775084	0.107755
ENSMODG00000000481	50.129341	8.49989	19.687558	10.722835	18.589998	27.907097
ENSMODG00000000482	0	10.284082	0.028482	65.460708	208.701856	1.458534
ENSMODG00000000483	7.781316	0.847627	0.171891	0	0.121516	0.707085
