Ens.ID	TPM.bones	TPM.brain	TPM.embryo	TPM.gill	TPM.kidney	TPM.heart	TPM.intestine	TPM.liver	TPM.muscle	TPM.ovary	TPM.testis
ENSAMXG00000000017	2.66132	4.25385	14.6829	64.1989	15.8768	10.746	21.4554	1.60579	5.10648	12.0814	2.16135
ENSAMXG00000000018	38.4805	43.7116	5.28974	151.269	60.0958	116.92	63.1194	8.54937	14.0847	57.6261	26.7199
ENSAMXG00000000019	6.40565	6.27139	6.91458	22.059	16.4137	24.5854	10.7778	2.7542	4.51922	9.05315	6.42562
ENSAMXG00000000020	0.766959	5.13214	1.99755	3.07426	6.21463	1.69839	13.0746	0.923762	0.493763	2.96094	2.53338
ENSAMXG00000000021	1.7944	9.49911	5.43241	2.01408	3.05749	1.17714	1.74999	0.734653	1.26277	0.812503	1.40093
ENSAMXG00000000022	1.94637	0.276827	0.352173	1.15348	0.938158	1.59054	6.77079	0.946474	0.807308	4.94936	2.23201
ENSAMXG00000000023	6.5504	19.0557	26.9079	14.4393	78.1406	22.0771	24.7573	3.45205	2.18	22.6479	3.84538
ENSAMXG00000000024	0.422898	0.911266	111.962	317.337	2.20748	0.419163	0	3.57551	1.2343	12.382	8.09418
ENSAMXG00000000025	5.12224	82.91	2.56435	0.102918	3.27734	0.40077	0.229005	2.27963	0.295436	0.766081	3.36672
ENSAMXG00000000026	11.6781	3.98456	7.64414	0.333767	9.16234	285.636	6.01992	0.293648	36.2886	0.891396	1.11304
ENSAMXG00000000027	5.97700284852	3.75714	13.3022	13.6361000474825	5.27443000059469	7.90345000326923	8.49144	1.34727	1.55212	12.7340000021896	4.76051
ENSAMXG00000000028	20.6813	193.625	15.0312	9.5242	14.619	211.001	11.3683	4.34228	35.6599	5.1464	7.92782
ENSAMXG00000000029	4.38365	7.13317	60.1636	8.77243	0.713574	0	0.197905	0.308583	4.01546	6.01648	2.10931
ENSAMXG00000000030	1.4102	2.51312	2.40728	0.373262	7.73993	0	0.344557	37.5352	0	10.5314	38.4207
ENSAMXG00000000031	2.0034	5.15502	0.733995	7.37579	4.48152	4.10561	7.93404	15.1999	1.30469	4.15583	19.8961
ENSAMXG00000000032	0.297099	2.48999	0.192404	0.063665	0.690988	0.600126	0.069838	2.00536	0.110146	0.0893781	1.67811
ENSAMXG00000000033	50.0698	168.569	67.2949	189.62	61.1784	157.098	19.4767	77.5715	14.8724	124.02	81.1755
ENSAMXG00000000034	2.22301	15.8702	40.9786	2.46922	0.960871	1.57763	0.711729	3.26981	0.418774	1.42946	6.19819
ENSAMXG00000000035	4.36366	3.86706	3.17135	21.0103	8.45102	7.321	21.8266	15.8865	1.15141	10.9321	21.7072
ENSAMXG00000000036	1.94712	24.1408	0.204569	0.209555	0.19155	2.28611	0.0646663	0.0678414	5.19668	0.0365926	0.182439
ENSAMXG00000000037	4.08399	21.447	33.2365	8.94308	6.0689	5.91335	6.71982	9.18799	1.97425	4.05795	11.8858
ENSAMXG00000000038	1.21581	5.37552	8.90671	1.5561	7.37724	16.1421	6.75594	0.509054	0.454708	1.06546	1.27164
ENSAMXG00000000039	9.9512	247.705	1.45851	0.692933	0.2895	0.084195	0.12027	9.11057	0.26653	0.544593	13.4872
ENSAMXG00000000040	10.4234	93.3535	6.83148	1.55311	0.191371	0	0.069156	0.625066	6.26609	0.194496	1.05757
ENSAMXG00000000041	0.419485	19.0213	1.24411	0.53846	0.681029	0.64484	0.598755	0.139141	0.0679539	0.0649747	0.10832
ENSAMXG00000000042	36.7888	46.3829	39.5658	56.3206	30.1268	39.4124	42.2229	17.6569	37.5858	20.8647	36.6339
ENSAMXG00000000043	106.846	70.1799	57.9909	78.8062	50.3888	48.6914	46.2755	18.0917	191.016	28.827	24.5216
ENSAMXG00000000044	5.8846	17.8667	12.6861	24.9585	8.70523	37.6792	8.3362	2.35848	1.61049	7.83434	3.11036
ENSAMXG00000000045	0.554772	6.39551	0.898402	0.857105	1.22615	0.609087	1.66057	0.287853	0.170627	0.5593	0.440583
ENSAMXG00000000046	2.48367	10.6824	4.07178	2.30785	3.71125	2.13972	1.84214	1.62244	1.59202	3.30857	2.92563
ENSAMXG00000000047	1.70238	0.392785	1.17751	1.28874	0.19564	0.0376424	0.043053	3.25302	0	12.9679	2.64207
ENSAMXG00000000048	4.12142	9.81023	19.0596	7.49022	4.78469	4.47009	7.6631	5.83931	2.69442	3.13606	8.81646
ENSAMXG00000000049	1.73616	9.38501	1.21119	1.26829	2.18285	0.548598	0.749633	2.43492	0.225962	0.936323	3.63773
ENSAMXG00000000050	0.858247	1.42004	14.5986	2.44768	0.104562	0	1.30833	1.75152	1.00294	0.516758	4.01785
ENSAMXG00000000051	24.7621	55.497	39.2464	38.0237	29.4763	34.1739	30.8212	9.85254	11.8149	21.3229	21.2339
ENSAMXG00000000052	1.69914	4.60601	4.72672	3.96836	7.82333	6.38529	5.94807	10.2473	1.75278	3.26058	9.13452
ENSAMXG00000000053	14.1291	19.9921	25.0275	12.768	10.5613	12.659	7.13712	6.44763	5.63817	24.3612	7.22278
ENSAMXG00000000054	3.50432	21.6072	9.98535	0.108628	0	0.0358638	0.0412664	0.0673357	0	0	0.131968
ENSAMXG00000000055	95.2829	111.527	66.8927	4.07443	2.05585	1.68224	1.96101	1.86752	4.07688	9.2362	5.1571
ENSAMXG00000000056	103.19	41.5685	124.865	51.6426	18.4597	80.2625	5.93948	2.06797	37.2071	31.2056	4.97228
ENSAMXG00000000057	1.68738	20.1528	0.921788	0.627375	0.128529	0.613073	0.140128	2.85014	0.513883	2.04916	4.20873
ENSAMXG00000000058	0.463119	1.21011	35.025	2.3826	0.889055	0.122969	5.29314	7.58582	0.138414	1.26777	7.4195
ENSAMXG00000000059	5.08968	11.3779	28.413	15.3819	9.63579	7.07182	11.5255	6.44053	2.66062	6.52787	8.37941
ENSAMXG00000000060	4.75467	11.9778	9.46837	9.50504	10.8297	5.88316	9.66917	3.36445	2.17632	5.83095	5.20005
ENSAMXG00000000061	7.49041	34.7737	3.19787	15.6154	14.0375	5.7107	9.27961	6.26604	0.680995	3.68169	11.1219
ENSAMXG00000000062	1.6161	5.42042	3.73195	4.66708	4.3829	2.58227	2.10571	12.5064	0.499134	4.10984	11.2507
ENSAMXG00000000063	5.09487	22.2623	19.8678	10.1677	9.31236	4.73763	7.05149	3.74935	1.75711	5.75591	5.94834
ENSAMXG00000000064	80.9567	39.31	164.12	40.8416	310.592	100.12	709.115	114.012	39.992	396.76	106.841
ENSAMXG00000000065	4.60451	0.29639	0	1.50382	3.06638	1.97073	1.83103	0.110677	0.204847	1.44326	3.82117
ENSAMXG00000000066	5.12589	16.2735	20.3888	6.65843	7.25633	6.25431	4.8111	9.5677	2.35947	6.5518	12.4555
ENSAMXG00000000067	4.65446	17.9969	2.9078	8.70512	65.1111	7.97134	6.03666	4.97102	1.20676	4.3301	4.69175
ENSAMXG00000000068	13.154857	17.719719	1.577659	23.112601	12.084911	3.746432	8.620141	3.3906909	3.16644	10.742435	11.90849
ENSAMXG00000000069	0.168495	0.751154	0.229206	0.161021	0.0334616	0	0.107744	0.0649039	0.133367	0.140934	0.274411
ENSAMXG00000000070	0.159787	11.8447	19.0016	0.254886	0.0640234	0.0632211	0.0712415	0.0429553	0.101636	0	0.28857
ENSAMXG00000000071	13.3402	41.1106	147.409	29.0374	19.7849	13.4777	49.1003	10.3865	11.2582	10.8171	14.2719
ENSAMXG00000000072	2.64556	9.35609	17.8339	6.92584	5.89657	11.9913	6.35791	4.64647	3.25245	3.6381	3.95248
ENSAMXG00000000073	5.5736	7.80449	5.71104	12.5878	13.7501	8.62706	7.85236	0.520386	2.37481	6.02874	0.956284
ENSAMXG00000000074	7.13087	0.699995	0.571106	0.221061	212.201	0.150146	450.499	0.528446	0.108746	0.48086	1.1426
ENSAMXG00000000075	1.70992	2.85798	1.77208	1.08165	20.8757	0.203954	10.0343	2.1941	0.177406	1.28704	2.94869
ENSAMXG00000000076	8.92007	34.3317	35.7868	27.0494	20.3121	9.03669	20.5136	16.7521	1.79501	12.4486	20.4055
ENSAMXG00000000077	23.5102	20.8504	46.0839	64.0182	36.0636	124.53	21.992	36.8373	11.8654	30.9457	25.4296
ENSAMXG00000000078	1.48527	5.41349	14.7891	9.50168	1.83806	2.11105	1.63437	4.56787	0.537391	1.79138	5.57527
ENSAMXG00000000079	1.10618	2.87098	1.3607	2.13345	2.26397	1.94558	1.56982	0.814126	0.28177	1.18267	1.76253
ENSAMXG00000000080	15.9326	41.3702	133.552	38.5888	37.5764	26.285	51.7118	29.6047	12.5575	22.5608	40.8212
ENSAMXG00000000081	0.872445	0.184318	5.14232	0.796642	1.22619	1.63099	0.221907	0.604953	0.195925	1.02698	1.67119
ENSAMXG00000000082	0.235915	0	7.74599	20.5499	0.0957991	0.0911297	9.06123	0.187603	0.229677	1.45756	0
ENSAMXG00000000083	1.9685	12.1863	3.81408	3.42197	2.34992	0.392164	1.97911	1.70262	2.0073	2.51121	2.63771
ENSAMXG00000000084	41.2414	93.6679	0.272339	25.3255	299.334	8.32436	4.4259	38.0813	2.07027	284.829	30.6126
ENSAMXG00000000085	6.06455	23.6133	7.46621	12.9184	62.0644	33.7244	25.6199	7.09056	7.94076	3.72932	6.01158
ENSAMXG00000000086	1.93302	31.2103	0.820242	1.22579	1.5328	5.65587	0.3558	3.73182	0.611938	1.06465	4.39401
ENSAMXG00000000087	6.18654	38.9988	3.42469	21.9498	11.5822	10.1237	0.71354	0.441014	6.50255	8.85565	0.809152
ENSAMXG00000000088	0	0	0	0.140739	0	0	0	117.273	0	11.6954	119.653
ENSAMXG00000000089	2.70977	23.8049	1.61803	0.880184	0	0	0.246066	0.424169	0.120142	0.113863	0.483193
ENSAMXG00000000090	4.5804	21.3583	1.39016	1.15349	0.169072	0.160673	0.734521	0.312781	0.337708	0.193063	0.32414
ENSAMXG00000000091	0.706045	14.4222	1.66599	0	0	0	0	1.55143	0.0490463	0.187289	1.99679
ENSAMXG00000000092	0	0.291197	0.544928	0	4.27102	1.45266	0	2.55724	0	1.23014	4.40878
ENSAMXG00000000093	2.44251	1.95297	0.160186	9.99911	9.09163	5.95857	20.2162	4.119	0.806611	5.79921	23.0986
ENSAMXG00000000094	3.04493	14.5568	32.3046	6.77184	13.0172	5.60667	8.23047	3.12086	4.0767	1.93357	5.69808
ENSAMXG00000000095	5.10328	39.7926	5.06491	2.11717	2.26563	0.317555	0.607446	2.40261	0.711321	2.10665	3.80152
ENSAMXG00000000096	5.33445	15.0106	12.4493	9.5938	11.3144	8.16783	8.5332	20.1527	2.07065	11.9776	24.8353
ENSAMXG00000000097	19.09	3.31855	12.7993	3.64265	3.07895	72.5171	4.26441	1.7634	30.4882	3.44157	2.65814
ENSAMXG00000000098	3.03036	17.5098	5.60155	6.80956	3.17232	3.09952	2.29305	4.71097	0.670071	3.56792	7.01404
ENSAMXG00000000099	0.299907	0.136774	3.47609	1.95612	0.121745	0	0	0.0132559	0.0486104	0.858552	0.0776061
ENSAMXG00000000100	7.10655	5.03183	0.0171582	4.85106	1.87972	1.50361	2.69459	0.378173	1.173	4.04205	3.25935
ENSAMXG00000000101	0.746425	13.0555	1.10994	0.535046	0.648601	0.17215	0.183216	0.415154	0.0958997	0.30664	0.736162
ENSAMXG00000000102	0.133741	1.11822	0.937892	0.47815	0.32618	0.156037	8.11495	0.0708446	0.130492	4.50969	0.210183
ENSAMXG00000000103	7.96053	18.1406	181.77	12.7593	18.4319	6.51203	59.4262	10.5784	2.63712	8.38197	26.3937
ENSAMXG00000000104	18.7928	17.5175	359.62	22.4445	45.0245	40.632	350.887	10.0815	22.5334	15.2732	16.4591
ENSAMXG00000000105	1.03903	2.18883	0.361961	1.64471	1.18126	0.561284	0.36656	3.56264	0.94379	2.02335	5.01457
ENSAMXG00000000106	162.9	4.34704	510.936	58.6735	0.934037	0.686217	0.720169	3.29991	15.3288	3.18529	12.2733
ENSAMXG00000000107	4.3026	6.8269	7.80572	4.38009	18.2118	5.86785	3.90296	11.3767	0.673568	9.21606	21.2699
ENSAMXG00000000108	0.208506	0.577414	1.10525	0.416517	0.881166	0.219258	0.264581	0.533495	0.0887573	0.608473	0.483175
ENSAMXG00000000109	20.6118	23.6305	11.8521	26.4239	30.5799	25.5032	21.2696	22.6274	5.50342	20.602	20.301
ENSAMXG00000000110	23.2881	69.3928	19.5035	32.2775	22.5336	14.2326	11.8558	16.9163	5.64031	15.106	15.8976
ENSAMXG00000000111	1.19211	12.5675	0.38226	2.68056	0.840627	0.798304	10.8653	140.738	0.0610471	46.3318	122.134
ENSAMXG00000000112	26.8267	28.4887	15.4221	27.1664	2.90733	22.4979	10.3644	4.83929	43.8864	1.74816	6.50521
ENSAMXG00000000113	11.2555	102.421	29.4753	14.3403	15.7654	10.2647	8.02242	27.7779	2.53852	9.1773	42.2961
ENSAMXG00000000114	8.83533	11.8002	3.97304	14.6278	0.322395	12.9075	1.56642	0.498056	22.9692	0.302067	1.13017
ENSAMXG00000000115	14.1257	38.1033	9.46872	21.0421	120.649	41.5656	178.193	32.7372	9.70585	17.8721	24.2999
ENSAMXG00000000116	1.13217	0.311512	0.526192	0.627473	0	0.0874351	0.349752	0.380156	0	0.80458	0.352831
ENSAMXG00000000117	8.07435	12.5688	5.70078	13.0895	2.6946	9.28095	1.76719	1.11479	18.5817	0.583403	2.3872
ENSAMXG00000000118	1.12524	0.511901	1.27195	7.54969	17.8964	0.775362	38.1488	4.4676	0.361394	2.34861	3.0259
ENSAMXG00000000119	5.20523	8.4744	2.39752	9.24571	0.322188	7.68513	0.863178	0.304199	12.594	0.200057	0.734226
ENSAMXG00000000120	6.18265	40.6264	3.32739	139.094	26.5103	49.7464	8.74295	6.36101	0.299415	10.2356	6.10582
ENSAMXG00000000121	4.57571	8.51251	1.53971	10.3945	0.0977956	10.7002	0.797561	0.191504	17.0384	0	0.500683
ENSAMXG00000000122	2.74672	4.54084	6.78582	6.00614	4.80492	3.61434	5.37988	7.61406	1.24103	4.04375	12.1437
ENSAMXG00000000123	0.727825	1.61602	35.9213	3.65632	1.49114	0.163401	4.91335	58.1067	0.0862149	10.8014	40.9222
ENSAMXG00000000124	61.5531	29.6262	115.861	59.3349	78.0217	47.8312	15.6932	15.0577	10.7242	48.9787	17.3429
ENSAMXG00000000125	20.9602	58.5942	107.636	36.5817	45.5009	23.206	75.2269	19.8891	14.5378	21.0277	33.481
ENSAMXG00000000126	10.4273	52.4869	28.7375	17.6865	24.0974	4.85259	11.184	4.47395	8.69924	12.2861	11.1061
ENSAMXG00000000127	1.99437	5.24059	97.3897	9.72547	4.01022	0.695152	13.8365	46.0341	1.16591	9.1376	43.3494
ENSAMXG00000000128	1.1214	1.32367	0.139665	4.75765	0.780652	0.557038	0.7958	1.71977	0.0779865	0.92782	5.12065
ENSAMXG00000000129	2.99341	23.3001	1.2334	2.942	2.26146	3.31012	1.26142	1.82617	0.627018	1.57285	4.57522
ENSAMXG00000000130	10.7411	21.6865	54.1256	23.3052	47.0914	56.9319	29.5675	8.21479	7.86387	12.7372	13.5886
ENSAMXG00000000131	9.70205	52.84371	36.1708	21.5231	18.03757	14.50045	11.866458	19.049668	4.28501	12.21716	20.26594
ENSAMXG00000000132	1.34771	3.18824	0.39264	5.02934	2.14806	4.99085	1.62059	0.324363	0.722854	1.52179	2.67068
ENSAMXG00000000133	8.11717	44.6162	54.0589	21.1125	26.0893	22.015	16.9511	11.0684	7.43687	11.215	15.2753
ENSAMXG00000000134	6.95012	27.4675	50.7525	14.2424	12.2586	8.055	11.3864	12.7682	3.05203	10.4729	19.2386
ENSAMXG00000000135	3.57624	5.08458	1.56102	2.98225	120.834	3.43243	30.5712	5.49887	1.51762	13.4393	7.83979
ENSAMXG00000000136	0.309247	1.33529	0	8.54081	0.755381	2.93458	0	0.326429	0.303733	0.424166	1.49047
ENSAMXG00000000137	285.729	422.274	1731.41	1012.4	1767.25	1436.88	1261.44	131.665	69.688	461.131	284.536
ENSAMXG00000000138	5.23082	4.43795	1.19571	19.7046	14.4732	11.616	8.66833	6	2.11886	7.78689	12.4269
ENSAMXG00000000139	11.6844	5.95092	30.4637	25.4651	43.5515	18.297	57.8315	21.7797	4.50803	19.6579	20.4471
ENSAMXG00000000140	3.37659	13.6373	7.41101	6.76027	3.91689	3.52484	15.887	1.83766	1.68287	3.43701	3.05396
ENSAMXG00000000141	2.18189	24.8522	0.631957	0.161676	0.0553546	5.29961	0.0899489	2.10977	0.176796	0.31662	1.76325
ENSAMXG00000000142	4.35301	1.8521	14.7212	25.5826	108.211	0.521932	22.2758	7.01142	0.169238	10.1138	7.39154
ENSAMXG00000000143	0.440793	20.2638	0.0954726	0.0494302	0.0169072	0.0318793	0.0549162	0.186537	0	0.109186	0.447273
ENSAMXG00000000144	7.05254	24.3049	12.0062	13.1874	12.6482	13.237	5.81217	30.2508	7.42226	12.7077	34.4687
ENSAMXG00000000145	4.06053	5.71108	8.54051	25.7828	18.7225	6.95088	18.8226	6.34991	1.24649	7.85969	10.754
ENSAMXG00000000146	5.48389	102.933	1.5688	2.33286	1.71407	54.5245	0.484942	0.351773	1.23392	0.518897	0.736993
ENSAMXG00000000147	0	0	332.057	0	0	0	62.8142	0.0573632	0	0.100157	0.593276
ENSAMXG00000000148	39.31	3106.78	0	0	24.0687	86.5481	11.6646	1.37212	0	2.3108	4.18397
ENSAMXG00000000149	3.95101	3.45565	7.23481	12.2299	17.9988	8.25955	16.7541	4.735	2.13044	6.24069	5.83152
ENSAMXG00000000150	13.6801	63.7812	5.31486	22.6724	35.1861	12.8575	19.1287	9.46339	5.39765	8.00067	24.0358
ENSAMXG00000000151	2.65401	1.37655	0.186872	15.6049	2.35482	1.44242	1.13913	2.63492	0.209575	1.01957	7.7301
ENSAMXG00000000152	5.42608	0.216352	0.320646	15.4958	0.320788	0.24345	0.452116	2.06759	0.153713	13.2282	2.1274
ENSAMXG00000000153	24.198	214.702	1.11435	0.789313	0.135303	0.10959	0.0626184	0.122184	0.154217	0.132969	0.148767
ENSAMXG00000000154	3.5047	4.48369	19.207	18.4838	15.5055	2.11395	12.8351	0.692085	0.924433	2.09564	1.5436
ENSAMXG00000000155	4.8354	17.5389	15.5737	9.69321	8.52699	6.01371	4.06783	3.15943	4.81002	3.71963	7.98043
ENSAMXG00000000156	69.5559	30.3948	15.5965	399.709	142.35	251.125	8.72843	5.29387	81.9905	239.169	8.32374
ENSAMXG00000000157	4.65524	3.03547	0.20495	3.67702	1.06793	0.466637	0.933233	0.322149	0.557367	0.940585	1.228
ENSAMXG00000000158	4.36942	1.66525	4.77565	7.53966	7.05618	17.0243	28.2431	14.8451	0.74529	4505.79	34.6372
ENSAMXG00000000159	16.587	25.7865	5.59822	12.65675	69.5828	82.8721	32.9804	0.51957	4.27544	22.1331	1.03753
ENSAMXG00000000160	2.78497	20.4877	7.29314	10.5293	4.95565	2.28244	5.26959	2.94124	0.754573	1.87993	4.18554
ENSAMXG00000000161	18.3557	18.6499	22.9048	22.6055	18.7506	20.8094	33.5375	27.3462	7.87591	14.941	22.9819
ENSAMXG00000000162	4.20868	10.959	4.86602	8.16303	13.9288	7.54771	12.0151	11.8401	2.30301	8.8516	13.2086
ENSAMXG00000000163	3.35043	16.1496	8.40085	6.41554	31.4409	5.73486	5.63987	6.47279	0.822312	2.42196	10.0656
ENSAMXG00000000164	1.9039	12.3245	116.036	3.38323	2.85904	2.34049	2.17321	3.91429	1.20269	2.25644	4.39807
ENSAMXG00000000165	4.67383	19.2882	29.3151	12.1468	12.3649	10.0956	12.6344	8.11036	3.11743	5.65023	12.7038
ENSAMXG00000000166	10.9793	83.8512	8.41048	0.458105	0.234726	0	3.57954	6.02368	0	2.63031	11.666
ENSAMXG00000000167	7.17338	2.79343	9.07049	8.74584	14.3428	26.0452	21.3498	17.2068	0.627058	2617.42	66.145
ENSAMXG00000000168	7.98681	3.557	0.214609	23.4379	14.5945	4.69751	7.62214	0.207558	1.90577	6.13198	2.80736
ENSAMXG00000000169	194.196	327.84	250.617	169.9	515.592	836.934	200.881	115.993	327.251	120.779	192.484
ENSAMXG00000000170	4.94877	3.35285	0.896596	2.99711	7.85004	3.79376	2.66355	0.494889	1.09146	8.99097	2.69847
ENSAMXG00000000171	6.85608	21.5563	14.4896	129.383	43.8934	2.4718	16.8062	2.33412	5.38275	24.1484	4.74791
ENSAMXG00000000172	0.373225	1.3685	1.69362	0.068011	1.04865	0	0.0188993	14.5399	0.0278982	2.26882	12.8214
ENSAMXG00000000173	37.0897	95.2787	155.616	94.8299	64.624	34.892	98.654	16.1868	11.1598	45.114	22.9843
ENSAMXG00000000174	1.43605	5.35367	2.96044	1.3619	2.1654	1.01721	1.04479	5.92393	0.618957	2.14831	8.20796
ENSAMXG00000000175	23.7077	50.4286	100.591	186.213	56.1652	38.3062	114.313	10.775	8.61746	31.2181	22.7592
ENSAMXG00000000176	13.937	39.953	6.18144	23.3346	19.5733	80.8162	24.0212	3.70524	10.3894	53.4442	7.62385
ENSAMXG00000000177	1.52976	2.10489	1.19853	8.45398	5.76189	0.557637	0.998038	0.235112	0.0789959	2.43815	0.721924
ENSAMXG00000000178	14.2052	47.6106	88.9181	24.7302	25.8696	30.8752	26.9809	21.6165	9.27592	19.9702	32.4555
ENSAMXG00000000179	87.9413	1.049	0.602657	3.62512	0.379823	2.27126	0.31668	0.671261	258.645	1.06264	1.36723
ENSAMXG00000000180	0.611481	3.70895	0.723306	0.46088	1.28594	0.480269	0.969633	47.3993	0.108032	11.0607	39.578
ENSAMXG00000000181	1.46913	3.90009	22.971	2.78966	2.14148	1.07757	3.9815	5.36199	0.740411	1.37891	6.86925
ENSAMXG00000000182	6.16655	30.0456	3.91985	3.32708	2.16845	2.51907	2.22017	6.10492	0.910272	2.35434	6.09621
ENSAMXG00000000183	12.4377	11.4334	0.890557	3.43299	1.65403	4.45253	2.24603	10.4914	40.925	4.30788	10.4699
ENSAMXG00000000184	4.21933	3.14083	0.043706	5.61425	4.05349	0.757763	8.81462	7.68396	0.136762	3.09105	10.2189
ENSAMXG00000000185	3.34342	12.8983	11.9393	12.192	7.45639	4.42374	8.3194	7.00971	1.42904	5.01219	8.76529
ENSAMXG00000000186	2.9153	4.78453	6.79874	11.0773	2.69992	4.93929	3.54947	0.975629	0.924224	4.18699	1.78221
ENSAMXG00000000187	2.19926	4.40399	4.44268	3.39397	5.33086	2.91518	1.73026	19.0362	0.877436	5.11665	21.2047
ENSAMXG00000000188	7.78277	56.5497	10.9716	10.2069	16.7759	14.9491	8.97686	6.94365	1.75636	17.5641	13.9456
ENSAMXG00000000189	7.13028	3.64816	0.032243	11.3981	9.677	6.29551	8.34475	0.325077	2.12982	3.96846	6.9929
ENSAMXG00000000190	1.71259	23.5117	5.54997	13.6642	1.01124	0	0	2.75251	0	1.5176	5.11789
ENSAMXG00000000191	16.2876	85.5745	25.3339	27.6822	17.0045	20.3791	16.3809	5.98382	9.3746	12.4978	4.5788
ENSAMXG00000000192	1.97507	0.152083	132.503	94.8026	22.8686	0.127625	36.9051	5.6391	2.45986	52.6268	10.052
ENSAMXG00000000193	2.11457	1.3617	0.597514	7.20422	4.79207	2.22414	9.27387	6.21086	0.461746	2.26786	3.48609
ENSAMXG00000000194	42.29716	339.4441	79.07366	43.35122	30.89756	13.59224	28.20909	15.57167	4.267179	17.69456	24.70894
ENSAMXG00000000195	18.871	165.261	61.3182	31.557	18.3693	17.7342	19.5293	16.4816	8.59236	12.063	19.6776
ENSAMXG00000000196	21768.9	11916.2	18046.3	32989.4	28682.7	24235.8	25320.6	9395.36	13583.2	37023.9	22905.8
ENSAMXG00000000197	1.87881	4.783	4.52535	5.66911	2.96384	3.30139	3.40688	4.26971	0.954849	3.19294	3.54324
ENSAMXG00000000198	23.5635	128.612	153.34	38.9067	31.2874	159.606	22.8822	10.4385	4.55952	19.2907	15.4212
ENSAMXG00000000199	11.5671	17.6232	37.0021	28.9512	19.785	18.5611	18.0895	75.8677	6.28399	25.3178	76.2947
ENSAMXG00000000200	1.95452	2.2052	0.83159	2.31495	7.13336	2.50886	0.863809	3.73236	0.406976	4.02193	5.0728
ENSAMXG00000000201	495.615	915.687	687.379	623.654	1054.72	1611.22	861.984	269.105	662.912	382.444	399.972
ENSAMXG00000000202	39.5462	151.932	108.985	61.6896	62.0042	53.9163	53.0427	65.1319	23.5361	60.2452	61.6644
ENSAMXG00000000203	0.220224	1.28194	1.65993	0.0653094	1.41923	0.0636248	0.0727136	0.629891	0	0.336093	0.694634
ENSAMXG00000000204	11.9196	27.6484	6.30531	4.47818	96.08	3.28189	1.04185	13.3268	16.9142	7.25616	8.67153
ENSAMXG00000000205	49.0592	298.475	36.984	0.376896	4.84245	0.447506	1.59231	0.211096	0.824265	0.814189	0.46451
ENSAMXG00000000206	4.06283	5.77715	1.59753	10.6976	44.5227	6.16523	64.7608	15.5766	2.26133	8.79419	14.7677
ENSAMXG00000000207	7.55721	19.5086	5.01733	29.786	10.8887	9.54273	8.38567	10.0228	2.07016	8.59765	13.4231
ENSAMXG00000000208	87.7463	176.6014	172.655	141.89061	717.432	135.7277	350.055	23.58055	43.88314	116.003	24.70016
ENSAMXG00000000209	64.4727	33.9226	2.09352	48.5378	11.1428	10.4129	11.4937	20.4957	13.1719	137.81	10.0711
ENSAMXG00000000210	4.54842	5.75092	18.0209	11.3632	8.50781	12.043	7.85828	7.81657	4.45259	6.21888	14.1666
