Ohno1	Ohno2	Symbol1	Symbol2	Og weighted global mean	Self weighted global mean	Outgroup Support	Duplication time	Gene type
ENSDARG00000036968	ENSDARG00000005924	SERPINA10 (1 to many)	serpina10a	1.29522030875299e-124	8.32596184855072e-32	5	FishWGD	protein_coding
ENSDARG00000022280	ENSDARG00000046087	brd2a	brd2b	2.61496930375848e-28	6.75829153080421e-15	6	FishWGD	protein_coding
ENSDARG00000100313	ENSDARG00000076001	pip5k1cb	pip5k1ca	4.72527959329475e-193	1.4887171742289e-32	7	FishWGD	protein_coding
ENSDARG00000001414	ENSDARG00000073970	mctp2a	mctp2b	3.35700053556562e-157	4.49729988496978e-13	6	FishWGD	protein_coding
ENSDARG00000062445	ENSDARG00000036094	pias1b	PIAS1 (1 to many)	2.04786802748384e-174	2.7487851448607e-21	7	FishWGD	protein_coding
ENSDARG00000091770	ENSDARG00000105345	zgc:173552	zgc:173552	2.57908513414217e-05	0.0932409474849828	1	Danio rerio	protein_coding
ENSDARG00000058329	ENSDARG00000096304	si:ch211-247l8.10	btr31	0.000446484098764921	0.291566901052364	6	FishWGD	protein_coding
ENSDARG00000100272	ENSDARG00000086633	or109-3	or111-3	2.69937983947662e-28	4.25094465753104e-14	2	FishWGD	protein_coding
ENSDARG00000034330	ENSDARG00000104302	si:dkey-88n24.7	CR391991.3	0.016066630541743	1.48439735856504e-10	1	FishWGD	protein_coding
ENSDARG00000061515	ENSDARG00000027822	tmtops2a	tmtops2b	1.06329435974194e-15	1.07921033659114e-13	2	FishWGD	protein_coding
ENSDARG00000105218	ENSDARG00000032380	ompa	ompb	1.4973541971323e-63	4.80625012084231e-12	4	FishWGD	protein_coding
ENSDARG00000079740	ENSDARG00000031372	efna2b	efna2a	4.38998274337649e-15	4.81121356593334e-06	4	FishWGD	protein_coding
ENSDARG00000086460	ENSDARG00000014624	si:dkey-83f18.10	si:dkeyp-94g1.1	0.016066630541743	1.59622586732738e-10	1	FishWGD	protein_coding
ENSDARG00000098724	ENSDARG00000054890	RGR (1 to many)	rgra	2.95503484061105e-212	1.09949166814671e-35	7	FishWGD	protein_coding
ENSDARG00000009196	ENSDARG00000044254	anxa3a	anxa3b	2.41513267096148e-19	2.47889376554449e-08	3	FishWGD	protein_coding
ENSDARG00000099321	ENSDARG00000102472	btbd17a	btbd17b	1.75095475840551e-160	2.78536696325943e-20	7	FishWGD	protein_coding
ENSDARG00000071841	ENSDARG00000052064	si:dkey-32n7.9	si:dkeyp-93a5.2	6.02277250897683e-18	0.225635706630735	4	FishWGD	protein_coding
ENSDARG00000039483	ENSDARG00000022891	si:dkey-51a16.9	zgc:175214	6.35644886461043e-07	0.00129181046674894	1	FishWGD	protein_coding
ENSDARG00000092919	ENSDARG00000070178	zp3c	si:ch211-225p5.3	0.000206098755405818	0.108105585289099	1	FishWGD	protein_coding
ENSDARG00000099877	ENSDARG00000096722	si:dkeyp-72e1.6	si:dkey-16i5.8	2.86698947683318e-12	5.15689743525388e-08	1	FishWGD	protein_coding
ENSDARG00000074381	ENSDARG00000102388	farp1	FARP1 (1 to many)	3.40727166338482e-154	4.74592808423202e-21	6	Older	protein_coding
ENSDARG00000038716	ENSDARG00000018105	casq1a	casq1b	2.02599636267499e-12	8.62856067955922e-07	6	FishWGD	protein_coding
ENSDARG00000101207	ENSDARG00000091791	or109-11	or111-5	2.69937983947662e-28	3.76781232027039e-14	2	FishWGD	protein_coding
ENSDARG00000038646	ENSDARG00000034707	ftr11	ftr85	0.00103520303761834	1.42177807494278e-07	2	Clupeocephala	protein_coding
ENSDARG00000042107	ENSDARG00000068242	CNGB1 (1 to many)	cngb1a	8.6642883077127e-48	1.07966676261054e-06	7	FishWGD	protein_coding
ENSDARG00000090268	ENSDARG00000036840	krtt1c19e	krt15	7.1568793372977e-141	6.97796804747449e-06	7	FishWGD	protein_coding
ENSDARG00000056228	ENSDARG00000057125	pld1a	pld1b	1.4537863434235e-107	5.42485892770555e-17	7	FishWGD	protein_coding
ENSDARG00000004597	ENSDARG00000014792	lrrc4ba	lrrc4bb	3.81291726709289e-50	1.55386177060115e-24	5	FishWGD	protein_coding
ENSDARG00000042752	ENSDARG00000104302	si:ch211-282j17.11	CR391991.3	0.016066630541743	1.48439735856504e-10	1	FishWGD	protein_coding
ENSDARG00000003008	ENSDARG00000069928	prkcea	prkceb	9.8708910737497e-66	3.52525955651426e-07	6	FishWGD	protein_coding
ENSDARG00000070873	ENSDARG00000089534	ccl25b	CU693369.1	2.48080637529151e-13	0.032324092513766	1	FishWGD	protein_coding
ENSDARG00000102799	ENSDARG00000102154	znf1114	BX855614.3	1.11938826027165e-09	1.08563251269552e-12	4	FishWGD	protein_coding
ENSDARG00000038615	ENSDARG00000026387	tmem55ba	tmem55bb	1.20249345702344e-13	0.0630032925079467	4	FishWGD	protein_coding
ENSDARG00000076847	ENSDARG00000103851	tnrc6c1	tnrc6c2	4.03376576971618e-38	0.000422972061284644	6	FishWGD	protein_coding
ENSDARG00000102096	ENSDARG00000041008	adra2b	ADRA2B (1 to many)	6.03251402905138e-20	1.77331525978354e-18	5	FishWGD	protein_coding
ENSDARG00000012405	ENSDARG00000035809	col1a1a	col1a1b	1.27242368474018e-128	9.86779434488149e-25	5	FishWGD	protein_coding
ENSDARG00000105334	ENSDARG00000104302	si:dkey-83f18.4	CR391991.3	0.016066630541743	1.48439735856504e-10	1	FishWGD	protein_coding
ENSDARG00000053246	ENSDARG00000055043	DEPDC7 (1 to many)	depdc7	8.68050962994387e-111	1.85890542302735e-15	7	FishWGD	protein_coding
ENSDARG00000077691	ENSDARG00000039999	slc13a5a	slc13a5b	2.66645109315626e-85	4.09651027130952e-14	7	FishWGD	protein_coding
ENSDARG00000071070	ENSDARG00000031737	pthlhb	pthlha	1.67367551799445e-44	1.30849081687514e-06	7	FishWGD	protein_coding
ENSDARG00000061858	ENSDARG00000100953	zgc:153968	si:dkeyp-93a5.2	7.11765785501315e-18	0.0120490505145896	4	FishWGD	protein_coding
ENSDARG00000058342	ENSDARG00000061974	grhl2a	grhl2b	1.8004610945861e-157	1.98609115787787e-32	7	FishWGD	protein_coding
ENSDARG00000074075	ENSDARG00000025672	antxr1b	antxr1a	5.28544459484064e-83	1.70504172848104e-29	7	FishWGD	protein_coding
ENSDARG00000103193	ENSDARG00000102368	TRIM35 (1 to many)	trim35-23	1.0257343363969e-16	1.27217292302877e-08	2	FishWGD	protein_coding
ENSDARG00000071014	ENSDARG00000089441	s100u	si:ch211-105c13.3	4.76784910012566e-14	4.55367099353197e-14	1	FishWGD	protein_coding
ENSDARG00000018611	ENSDARG00000018321	lbx1b	lbx1a	9.22809182357185e-34	0.0127077022255682	4	Vertebrata	protein_coding
ENSDARG00000103672	ENSDARG00000013351	cirbpa	cirbpb	4.89129747932668e-47	8.3575753725213e-14	5	FishWGD	protein_coding
ENSDARG00000075263	ENSDARG00000076192	ankrd1a	ankrd1b	1.50921961852001e-60	2.81497071422841e-12	7	FishWGD	protein_coding
ENSDARG00000020114	ENSDARG00000010641	slc20a1a	slc20a1b	1.51705368629032e-49	5.91943909552906e-19	6	FishWGD	protein_coding
ENSDARG00000104279	ENSDARG00000055543	appa	appb	2.11064215796858e-111	1.03070785345439e-33	6	FishWGD	protein_coding
ENSDARG00000040298	ENSDARG00000101160	apoa4b.1	apoa4a	8.88222089892859e-30	4.67426188181643e-27	7	FishWGD	protein_coding
ENSDARG00000098963	ENSDARG00000104438	pcdh1g13	pcdh2g17	1.14295247996742e-61	1.17650439047228e-12	7	FishWGD	protein_coding
ENSDARG00000059026	ENSDARG00000101956	zgc:123217	CU571315.2	1.75218331928841e-79	1.21968345470217e-21	5	FishWGD	protein_coding
ENSDARG00000002353	ENSDARG00000043475	tagapa	tagapb	7.22705630851222e-22	4.66035144708676e-08	6	FishWGD	protein_coding
ENSDARG00000101054	ENSDARG00000045945	syn2b	syn2a	1.14843320069729e-148	9.34564187264249e-16	7	FishWGD	protein_coding
ENSDARG00000019658	ENSDARG00000036816	pou2f2a	pou2f2a	4.79159610476196e-73	1.13763813442107e-28	5	FishWGD	protein_coding
ENSDARG00000010555	ENSDARG00000012387	pdha1b	pdha1a	6.53198279148967e-32	0.00308400402425498	7	FishWGD	protein_coding
ENSDARG00000020866	ENSDARG00000101160	apoa4b.2	apoa4a	8.88222089892859e-30	3.6009424867674e-27	7	FishWGD	protein_coding
ENSDARG00000098963	ENSDARG00000102943	pcdh1g13	pcdh2g28	1.14295247996742e-61	3.71563911879629e-12	7	FishWGD	protein_coding
ENSDARG00000104387	ENSDARG00000002771	slc4a5	SLC4A5 (1 to many)	5.44372425805462e-63	1.91547461535491e-14	6	FishWGD	protein_coding
ENSDARG00000090724	ENSDARG00000102312	scn12aa	CABZ01063402.1	1.22093988248716e-17	1.5243617353817e-10	2	FishWGD	protein_coding
ENSDARG00000093193	ENSDARG00000099185	chia.6	chia.2	1.37531275838547e-39	1.04441244041428e-17	7	FishWGD	protein_coding
ENSDARG00000046012	ENSDARG00000079340	slc47a1	si:dkey-175a17.4	1.43201141815441e-81	2.17737361635527e-24	7	FishWGD	protein_coding
ENSDARG00000062347	ENSDARG00000074984	mtus2	MTUS2 (1 to many)	6.76562835262966e-100	4.09231861083725e-20	7	FishWGD	protein_coding
ENSDARG00000103390	ENSDARG00000078169	CACNA2D2 (1 to many)	cacna2d2b	6.67906426207383e-47	0.284237748023567	7	FishWGD	protein_coding
ENSDARG00000103984	ENSDARG00000038011	cyth4b	cyth4a	1.32469613190127e-77	3.2249400067062e-14	7	FishWGD	protein_coding
ENSDARG00000104618	ENSDARG00000029546	grem1b	grem1a	4.17935549699792e-93	2.69916683246577e-18	7	FishWGD	protein_coding
ENSDARG00000004392	ENSDARG00000004451	hdr	tnfrsfa	6.59798397859997e-47	8.56460679012974e-23	5	FishWGD	protein_coding
ENSDARG00000079248	ENSDARG00000076529	mn1b	mn1a	2.677222821827e-34	0.000293384022344695	7	FishWGD	protein_coding
ENSDARG00000037116	ENSDARG00000055100	cxcl12a	cxcl12b	9.79340535360121e-28	0.000460953704129945	6	FishWGD	protein_coding
ENSDARG00000101588	ENSDARG00000088846	or109-13	or111-4	2.69937983947662e-28	4.07612535930701e-14	2	FishWGD	protein_coding
ENSDARG00000103837	ENSDARG00000099115	CU633479.2	FO904953.1	2.59631301094521e-22	0.000346487397404538	4	Younger	protein_coding
ENSDARG00000078386	ENSDARG00000103195	dync1i2a	DYNC1I2 (1 to many)	7.68251904901683e-93	4.7125537079473e-15	7	FishWGD	protein_coding
ENSDARG00000040627	ENSDARG00000069139	grik1b	grik1a	7.00912402833245e-95	2.05244531709216e-30	7	FishWGD	protein_coding
ENSDARG00000034093	ENSDARG00000102845	dclk2a	dclk2b	9.0194677689914e-102	2.09142223258937e-14	7	FishWGD	protein_coding
ENSDARG00000020031	ENSDARG00000030723	cldn11a	cldn11b	1.05516626603653e-108	4.26884092180516e-17	7	FishWGD	protein_coding
ENSDARG00000041921	ENSDARG00000069425	hsbp1b	hsbp1a	2.70970696774563e-36	1.6470523973568e-05	5	FishWGD	protein_coding
ENSDARG00000094990	ENSDARG00000007099	si:dkey-91f15.1	cx43.4	2.72935164549066e-60	7.78925537403523e-23	3	FishWGD	protein_coding
ENSDARG00000082396	ENSDARG00000081661	dre-mir-206-1	dre-mir-206-2	2.71137449242425e-28	4.08088218700982e-11	6	FishWGD	miRNA
ENSDARG00000056934	ENSDARG00000077945	hepacama	HEPACAM (1 to many)	1.18799444137887e-120	3.05261905038828e-21	7	FishWGD	protein_coding
ENSDARG00000092399	ENSDARG00000069206	taar20d1	taar15	2.0181736654529e-08	8.84213067626256e-13	4	FishWGD	protein_coding
ENSDARG00000074739	ENSDARG00000078123	slitrk3b	SLITRK3 (1 to many)	1.57490349400013e-16	0.114124482691004	6	FishWGD	protein_coding
ENSDARG00000035872	ENSDARG00000015709	hsd17b12b	hsd17b12a	2.67212326794535e-168	7.17002783048515e-30	7	FishWGD	protein_coding
ENSDARG00000093876	ENSDARG00000105247	si:dkey-28d5.10	CR391991.5	0.016066630541743	2.24123064662853e-10	1	FishWGD	protein_coding
ENSDARG00000026383	ENSDARG00000052222	si:dkey-27j5.5	zgc:114118	3.32338124839938e-12	1.69160774975745e-19	2	FishWGD	protein_coding
ENSDARG00000075648	ENSDARG00000061471	sema5bb	sema5ba	9.89417999437915e-27	9.07956616786498e-16	5	FishWGD	protein_coding
ENSDARG00000005883	ENSDARG00000075904	rfx1a	rfx1b	2.33798316666757e-90	2.73675589867489e-16	6	Neopterygii	protein_coding
ENSDARG00000073665	ENSDARG00000035535	rasa1b	rasa1a	2.46831677594901e-41	0.0905045219983316	6	FishWGD	protein_coding
ENSDARG00000104442	ENSDARG00000078222	aatkb	aatka	8.76951175419632e-122	7.87709994634697e-21	6	FishWGD	protein_coding
ENSDARG00000094750	ENSDARG00000104524	si:dkey-28d5.5	CR391991.4	0.016066630541743	1.55409788311217e-10	1	FishWGD	protein_coding
ENSDARG00000010083	ENSDARG00000074310	rbfox3	rbfox3l	2.66678775054133e-38	0.00458412066623068	6	FishWGD	protein_coding
ENSDARG00000093856	ENSDARG00000058724	or125-1	or126-7	7.5246176862469e-24	1.25076282666142e-11	2	FishWGD	protein_coding
ENSDARG00000051836	ENSDARG00000011088	im:6904482	si:ch211-288d18.1	6.84043114437033e-57	8.63583933136501e-18	5	FishWGD	protein_coding
ENSDARG00000015161	ENSDARG00000099273	zgc:92664	zgc:103508	8.88317171367781e-31	0.175292302043486	6	Neopterygii	protein_coding
ENSDARG00000078821	ENSDARG00000104302	si:ch211-225k7.5	CR391991.3	0.016066630541743	1.48439735856504e-10	1	FishWGD	protein_coding
ENSDARG00000101034	ENSDARG00000005271	ZC3H12A (1 to many)	zc3h12a	1.23124920121644e-107	3.32133457419325e-25	6	FishWGD	protein_coding
ENSDARG00000005172	ENSDARG00000069790	dynll2b	dynll2a	8.10373935678764e-34	0.00940032015218569	6	FishWGD	protein_coding
ENSDARG00000092138	ENSDARG00000069206	taar20q	taar15	2.0181736654529e-08	9.03778333748353e-13	4	FishWGD	protein_coding
ENSDARG00000029204	ENSDARG00000056151	tyrp1a	tyrp1b	6.71431786639476e-45	6.75890714675072e-08	6	FishWGD	protein_coding
ENSDARG00000020814	ENSDARG00000005828	faimb	faima	5.44169039719674e-52	6.49331427732082e-18	6	FishWGD	protein_coding
ENSDARG00000062082	ENSDARG00000062469	hipk3b	hipk3a	5.58385655634307e-91	1.0540723897836e-15	7	FishWGD	protein_coding
ENSDARG00000078172	ENSDARG00000075505	PTGFRN (1 to many)	PTGFRN (1 to many)	6.0683574724328e-19	0.0070461675049923	6	FishWGD	protein_coding
ENSDARG00000105226	ENSDARG00000086633	or109-2	or111-3	2.69937983947662e-28	5.94541800544711e-14	2	FishWGD	protein_coding
ENSDARG00000077948	ENSDARG00000077749	usp54a	usp54b	3.21568993131399e-104	4.43669533175927e-24	6	FishWGD	protein_coding
ENSDARG00000038891	ENSDARG00000055014	AL954146.1	si:dkey-33m11.8	5.88024850366587e-06	4.44959288941037e-12	2	FishWGD	protein_coding
ENSDARG00000062148	ENSDARG00000061138	SENP7 (1 to many)	senp7b	4.25683454748409e-36	1.02808423621672e-08	7	FishWGD	protein_coding
ENSDARG00000040123	ENSDARG00000100560	zfpm2a	zfpm2b	8.45672578977075e-56	1.41776225936475e-09	7	FishWGD	protein_coding
ENSDARG00000035715	ENSDARG00000039034	marcksl1b	marcksl1a	2.95724291927308e-120	3.42096565287918e-08	7	FishWGD	protein_coding
ENSDARG00000053804	ENSDARG00000013830	osbpl2a	osbpl2b	1.1634600429004e-88	5.0187699580666e-11	6	FishWGD	protein_coding
ENSDARG00000055344	ENSDARG00000055339	mipep	MIPEP (1 to many)	5.7360582653061e-38	1.17810404791324e-05	6	FishWGD	protein_coding
ENSDARG00000086601	ENSDARG00000081224	dre-mir-26a-2	dre-mir-26a-3	1.43612415549174e-32	1.8777203245515e-10	5	FishWGD	miRNA
ENSDARG00000015559	ENSDARG00000039576	fstl1a	fstl1b	1.30550678089299e-14	0.054776445607189	6	FishWGD	protein_coding
ENSDARG00000017121	ENSDARG00000070542	mafba	mafbb	8.40437760224931e-130	6.37699468248017e-21	6	FishWGD	protein_coding
ENSDARG00000023868	ENSDARG00000079994	AKAP13 (1 to many)	AKAP13 (1 to many)	5.30700674856699e-53	4.94531849836144e-09	6	Clupeocephala	protein_coding
ENSDARG00000039852	ENSDARG00000034707	ftr93	ftr85	0.00521309350630542	5.19551134483186e-06	2	Clupeocephala	protein_coding
ENSDARG00000100929	ENSDARG00000077427	GPR20 (1 to many)	GPR20 (1 to many)	7.21614380326089e-110	5.14375551964825e-24	6	FishWGD	protein_coding
ENSDARG00000092384	ENSDARG00000102866	si:dkey-28d5.3	CR391991.1	0.016066630541743	2.00772899864474e-10	1	FishWGD	protein_coding
ENSDARG00000038363	ENSDARG00000035820	drd4a	drd4b	2.32151801569173e-45	4.32191651370892e-10	6	FishWGD	protein_coding
ENSDARG00000025757	ENSDARG00000103951	tspan35	FO834808.2	5.67488454930558e-27	6.63568590883964e-18	2	FishWGD	protein_coding
ENSDARG00000011897	ENSDARG00000040854	TSG101 (1 to many)	tsg101a	1.11051859341275e-46	1.24162594027822e-11	7	FishWGD	protein_coding
ENSDARG00000027797	ENSDARG00000061445	adcy6b	adcy6a	1.54726121816434e-54	0.0551294258934573	2	FishWGD	protein_coding
ENSDARG00000073920	ENSDARG00000073802	cntnap5a	cntnap5l	8.86039997577979e-18	0.0968114380938202	6	FishWGD	protein_coding
ENSDARG00000053708	ENSDARG00000104961	ghrhrb	ghrhra	1.30515490817306e-09	4.68233963049944e-13	3	FishWGD	protein_coding
ENSDARG00000105413	ENSDARG00000091083	si:dkey-83f18.8	si:ch211-195j11.27	0.016066630541743	1.3857294563821e-10	1	FishWGD	protein_coding
ENSDARG00000088601	ENSDARG00000089094	B3GNT8 (1 to many)	B3GNT8 (1 to many)	4.01316396728797e-07	1.85613851466832e-12	3	FishWGD	protein_coding
ENSDARG00000083425	ENSDARG00000083280	dre-let-7g-2	dre-let-7g-1	3.38408456926717e-43	0.000204689459719841	6	FishWGD	miRNA
ENSDARG00000042859	ENSDARG00000014599	slc5a6a	slc5a6b	2.59270026665078e-69	8.71089632837383e-18	6	FishWGD	protein_coding
ENSDARG00000013222	ENSDARG00000020981	slc35a3a	slc35a3b	5.72595667743497e-99	2.39574368041294e-19	6	FishWGD	protein_coding
ENSDARG00000098612	ENSDARG00000029994	chrm2a	chrm2b	3.81060201577028e-100	1.74442185169637e-29	6	FishWGD	protein_coding
ENSDARG00000030839	ENSDARG00000028346	tescb	tesca	5.13937043549004e-153	1.30334461920414e-20	6	FishWGD	protein_coding
ENSDARG00000091495	ENSDARG00000104302	si:dkey-83f18.11	CR391991.3	0.016066630541743	1.93170636545102e-10	1	FishWGD	protein_coding
ENSDARG00000098178	ENSDARG00000041030	or109-4	or111-1	2.69937983947662e-28	3.5936933334733e-14	2	FishWGD	protein_coding
ENSDARG00000092577	ENSDARG00000092581	or125-6	or126-3	7.5246176862469e-24	1.21029058137222e-11	2	FishWGD	protein_coding
ENSDARG00000052388	ENSDARG00000071007	pcgf5b	pcgf5a	3.06617482203643e-61	2.03418283628055e-12	7	FishWGD	protein_coding
ENSDARG00000101588	ENSDARG00000041024	or109-13	or111-6	2.69937983947662e-28	4.43382044345774e-14	2	FishWGD	protein_coding
ENSDARG00000102106	ENSDARG00000101407	tgm1l1	tgm1l4	4.8852804321497e-07	1.0414424649438e-19	4	FishWGD	protein_coding
ENSDARG00000103193	ENSDARG00000100721	TRIM35 (1 to many)	TRIM35 (1 to many)	1.0257343363969e-16	1.52939291324935e-08	2	FishWGD	protein_coding
ENSDARG00000024598	ENSDARG00000054304	homezb	homeza	7.49250944807802e-47	0.0176128203673189	5	FishWGD	protein_coding
ENSDARG00000056080	ENSDARG00000096701	RAP1GDS1 (1 to many)	RAP1GDS1 (1 to many)	4.25719268418315e-23	2.41403145718125e-07	6	FishWGD	protein_coding
ENSDARG00000091095	ENSDARG00000104302	si:dkey-88n24.8	CR391991.3	0.016066630541743	1.48439735856504e-10	1	FishWGD	protein_coding
ENSDARG00000020086	ENSDARG00000028676	nuak1a	nuak1b	1.22801360935854e-30	2.03082995860536e-11	6	FishWGD	protein_coding
ENSDARG00000103847	ENSDARG00000100869	ADCY9 (1 to many)	adcy9	8.13981427645287e-106	6.23854252720215e-25	7	FishWGD	protein_coding
ENSDARG00000020718	ENSDARG00000058336	SLC25A22 (1 to many)	SLC25A22 (1 to many)	9.62506729443123e-15	6.09169473756563e-06	4	FishWGD	protein_coding
ENSDARG00000015968	ENSDARG00000014430	rabgef1l	rabgef1	1.8316556992208e-91	1.55748426832855e-17	7	FishWGD	protein_coding
ENSDARG00000090876	ENSDARG00000045147	TMEM184B (1 to many)	tmem184ba	1.08507080164577e-69	1.28749083195434e-07	6	FishWGD	protein_coding
ENSDARG00000006079	ENSDARG00000056774	gpr37l1a	gpr37l1b	8.42484622882551e-28	0.0124872413263273	7	FishWGD	protein_coding
ENSDARG00000028857	ENSDARG00000075376	SGSM1 (1 to many)	sgsm1b	3.04083051739049e-169	1.85812801683272e-29	6	FishWGD	protein_coding
ENSDARG00000076449	ENSDARG00000013907	kbtbd13	KBTBD13 (1 to many)	6.78606520776374e-26	3.62506810158267e-05	5	FishWGD	protein_coding
ENSDARG00000079097	ENSDARG00000079004	tanc2a	TANC2 (1 to many)	7.14674267577382e-52	3.14896758782661e-13	5	FishWGD	protein_coding
ENSDARG00000091359	ENSDARG00000059475	CAMSAP3 (1 to many)	CAMSAP3 (1 to many)	2.14509536610751e-88	3.14582359023752e-28	6	FishWGD	protein_coding
ENSDARG00000078155	ENSDARG00000070571	si:ch211-163l21.4	zgc:153953	1.03521822601484e-16	1.05205407160046e-15	1	FishWGD	protein_coding
ENSDARG00000009499	ENSDARG00000063068	syne1a	syne1b	2.21562308640453e-131	1.06761884910007e-21	6	FishWGD	protein_coding
ENSDARG00000031817	ENSDARG00000076174	trim2a	trim2b	4.48406001799008e-105	1.23833950163244e-09	7	FishWGD	protein_coding
ENSDARG00000037925	ENSDARG00000045156	rgs9a	rgs9b	2.71281424838085e-53	7.76301834563568e-07	5	Vertebrata	protein_coding
ENSDARG00000075292	ENSDARG00000078474	myo15aa	myo15ab	5.66621969406562e-36	7.66803374260811e-08	6	FishWGD	protein_coding
ENSDARG00000088682	ENSDARG00000091083	si:dkey-192d15.3	si:ch211-195j11.27	0.016066630541743	1.3857294563821e-10	1	FishWGD	protein_coding
ENSDARG00000095864	ENSDARG00000034707	ftr59	ftr85	0.000333432130012401	0.245674720986242	2	Clupeocephala	protein_coding
ENSDARG00000045524	ENSDARG00000101209	lamb1b	lamb1a	1.84377367374586e-111	2.74624436944552e-18	7	FishWGD	protein_coding
ENSDARG00000094750	ENSDARG00000103510	si:dkey-28d5.5	CR391991.2	0.016066630541743	1.48461078961442e-10	1	FishWGD	protein_coding
ENSDARG00000059654	ENSDARG00000074213	eif3ba	eif3bb	1.09344907735115e-50	1.13648156373096e-06	6	FishWGD	protein_coding
ENSDARG00000001549	ENSDARG00000007812	sp3a	sp3b	7.84637406008721e-79	1.98125481775888e-14	7	FishWGD	protein_coding
ENSDARG00000078821	ENSDARG00000105247	si:ch211-225k7.5	CR391991.5	0.016066630541743	1.54096019679416e-10	1	FishWGD	protein_coding
ENSDARG00000016337	ENSDARG00000036139	lctlb	lctla	1.36647777656531e-104	7.25838262589277e-14	6	FishWGD	protein_coding
ENSDARG00000012504	ENSDARG00000045808	rlbp1a	rlbp1b	1.29621120206862e-148	1.73124576949046e-21	7	FishWGD	protein_coding
ENSDARG00000051746	ENSDARG00000015623	cecr1a	cecr1b	5.66585379607721e-95	7.1549066662733e-35	4	FishWGD	protein_coding
ENSDARG00000029569	ENSDARG00000003827	snapc1a	snapc1b	7.89897857607199e-81	4.66909647902091e-07	7	FishWGD	protein_coding
ENSDARG00000034207	ENSDARG00000007099	si:dkey-91f15.8	cx43.4	2.72935164549066e-60	7.73824207292644e-23	3	FishWGD	protein_coding
